Date et heure,Nom du joueur,Avion,Temps,Temps intermédiaire,Temps (s),Temps intermédiaire (s),Ravitaillement
2021-03-21T09:09:59.000Z,Asta,M-2000C,26 min 59.900,15 min 57.460,1619.9,957.46,Oui
2021-03-23T17:16:04.000Z,CoubyStark,M-2000C,26 min 35.060,16 min 15.980,1595.06,975.98,Oui
2021-04-17T19:09:08.000Z,NightWolf [VEAW] Yohann,F-14B,33 min 02.680,17 min 10.130,1982.68,1030.13,Non
2021-04-18T10:32:03.000Z,NightWolf [VEAW] Yohann,F-14B,28 min 06.670,16 min 19.110,1686.67,979.11,Non
2021-04-24T22:48:47.000Z,Sushimi,M-2000C,44 min 38.140,23 min 28.970,2678.14,1408.97,Oui
2021-05-03T22:17:00.000Z,Psycho,FA-18C_hornet,45 min 29.090,30 min 31.490,2729.09,1831.49,Oui
2021-05-04T21:48:32.000Z,Psycho,FA-18C_hornet,40 min 21.610,27 min 26.830,2421.61,1646.83,Oui
2021-05-04T22:04:48.000Z,Dee-Jay from BMS,F-16C_50,30 min 32.800,14 min 13.800,1832.8,853.8,Non
2021-05-07T18:47:25.000Z,Dee-Jay from BMS,F-16C_50,32 min 13.800,16 min 15.510,1933.8,975.51,Non
2021-05-07T21:01:11.000Z,Asta,M-2000C,25 min 00.820,15 min 24.680,1500.82,924.68,Oui
2021-05-07T21:52:28.000Z,Dee-Jay from BMS,F-16C_50,29 min 59.320,14 min 04.020,1799.32,844.02,Non
2021-05-08T10:59:58.000Z,Dee-Jay from BMS,F-16C_50,31 min 30.210,13 min 56.200,1890.21,836.2,Non
2021-05-08T11:58:30.000Z,COLMAR 2-1 - Guips,M-2000C,36 min 29.440,25 min 54.650,2189.44,1554.65,Oui
2021-05-08T12:31:10.000Z,COLMAR 2-1 - Guips,M-2000C,30 min 41.880,15 min 43.900,1841.88,943.9,Oui
2021-05-08T15:06:05.000Z,JTFF | Gemini | VF-84,F-14B,33 min 53.110,14 min 37.410,2033.11,877.41,Oui
2021-05-08T15:28:01.000Z,JTFF | Charly,FA-18C_hornet,25 min 29.340,15 min 03.590,1529.34,903.59,Non
2021-05-08T15:57:45.000Z,JTFF | Charly,FA-18C_hornet,26 min 00.700,16 min 09.270,1560.7,969.27,Non
2021-05-08T16:22:54.000Z,JTFF | Charly,FA-18C_hornet,24 min 18.770,14 min 08.040,1458.77,848.04,Non
2021-05-08T18:18:30.000Z,Dee-Jay from BMS,F-16C_50,29 min 37.740,13 min 30.600,1777.74,810.6,Oui
2021-05-08T18:56:27.000Z,JTFF | Charly,M-2000C,24 min 46.040,14 min 42.040,1486.04,882.04,Non
2021-05-08T21:52:57.000Z,JTFF | Gemini | VF-84,F-14B,29 min 10.050,15 min 38.990,1750.05,938.99,Non
2021-05-08T21:57:25.000Z,31st - MrGl0ck,F-16C_50,35 min 18.220,17 min 46.780,2118.22,1066.78,Non
2021-05-09T14:14:36.000Z,JTFF | Charly,M-2000C,24 min 57.400,15 min 10.710,1497.4,910.71,Oui
2021-05-09T14:57:11.000Z,JTFF | Charly,M-2000C,24 min 28.760,15 min 24.060,1468.76,924.06,Oui
2021-05-09T17:46:26.000Z,Dee-Jay from BMS,F-16C_50,29 min 13.130,13 min 37.570,1753.13,817.57,Oui
2021-05-09T18:16:50.000Z,Pougatchev,M-2000C,29 min 48.620,18 min 11.680,1788.62,1091.68,Oui
2021-05-09T23:54:12.000Z,Dee-Jay from BMS,F-16C_50,28 min 47.540,13 min 48.310,1727.54,828.31,Non
2021-05-09T23:58:20.000Z,Iceman,FA-18C_hornet,36 min 47.770,24 min 39.500,2207.77,1479.5,Oui
2021-05-10T00:31:56.000Z,Iceman,FA-18C_hornet,30 min 02.110,16 min 10.740,1802.11,970.74,Non
2021-05-10T14:57:29.000Z,carvex25,FA-18C_hornet,31 min 08.900,20 min 17.850,1868.9,1217.85,Oui
2021-05-10T21:33:10.000Z,Dee-Jay from BMS,F-16C_50,27 min 22.690,13 min 26.440,1642.69,806.44,Oui
2021-05-11T19:25:49.000Z,poupoune70,FA-18C_hornet,36 min 38.960,23 min 41.850,2198.96,1421.85,Oui
2021-05-11T19:55:56.000Z,JTFF | Charly,M-2000C,23 min 54.040,14 min 58.910,1434.04,898.91,Oui
2021-05-11T23:21:25.000Z,poupoune70,FA-18C_hornet,35 min 52.360,23 min 58.630,2152.36,1438.63,Oui
2021-05-12T10:48:57.000Z,VFA-131 |409 | DENVER,FA-18C_hornet,32 min 24.820,22 min 04.550,1944.82,1324.55,Oui
2021-05-12T16:43:28.000Z,Dee-Jay from BMS,F-16C_50,28 min 09.090,13 min 07.610,1689.09,787.61,Oui
2021-05-12T22:30:27.000Z,R2D2,FA-18C_hornet,45 min 20.190,33 min 06.760,2720.19,1986.76,Oui
2021-05-13T11:38:26.000Z,R2D2,FA-18C_hornet,33 min 29.810,14 min 52.250,2009.81,892.25,Oui
2021-05-13T11:38:55.000Z,poupoune70,FA-18C_hornet,32 min 38.090,21 min 31.560,1958.09,1291.56,Oui
2021-05-13T15:57:07.000Z,Dee-Jay from BMS,F-16C_50,28 min 33.980,14 min 26.920,1713.98,866.92,Oui
2021-05-13T22:17:25.000Z,Asta,M-2000C,24 min 17.820,14 min 54.260,1457.82,894.26,Oui
2021-05-14T11:33:05.000Z,Pougatchev,M-2000C,26 min 47.860,15 min 54.090,1607.86,954.09,Oui
2021-05-14T12:00:12.000Z,Pougatchev,M-2000C,24 min 57.150,15 min 37.420,1497.15,937.42,Oui
2021-05-14T14:17:12.000Z,Pougatchev,M-2000C,25 min 27.890,15 min 41.640,1527.89,941.64,Oui
2021-05-14T14:43:21.000Z,Pougatchev,M-2000C,24 min 31.750,15 min 21.040,1471.75,921.04,Oui
2021-05-14T15:10:49.000Z,Pougatchev,M-2000C,25 min 37.460,15 min 36.860,1537.46,936.86,Oui
2021-05-14T18:09:44.000Z,Pougatchev,M-2000C,24 min 37.020,15 min 00.940,1477.02,900.94,Oui
2021-05-14T20:27:27.000Z,R2D2,FA-18C_hornet,39 min 12.760,20 min 29.320,2352.76,1229.32,Oui
